dataset,scaler,model,tuning_method,best_params,Accuracy,ROC-AUC,F1-Score,Precision,Recall,MCC,Kappa,Log Loss,train_Accuracy,train_ROC-AUC,train_F1-Score,train_Precision,train_Recall,train_MCC,train_Kappa,train_Log Loss
adult,QuantileTransformer,DecisionTree,GridSearch,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8581560283687943,0.9027848748083802,0.7058823529411765,0.8,0.631578947368421,0.6215704008002548,0.6141215106732348,1.25332930150449,0.9672330097087378,0.9959704024884531,0.967032967032967,0.972972972972973,0.9611650485436893,0.9345348413827317,0.9344660194174758,0.07754249453622217
adult,QuantileTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.950354609929078,0.9862033725089423,0.9090909090909091,0.8974358974358975,0.9210526315789473,0.8750921303883024,0.8749524895477006,0.3697541889933689,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16
adult,QuantileTransformer,LDA,GridSearch,{'solver': 'lsqr'},0.9219858156028369,0.9844149207971385,0.8571428571428571,0.8461538461538461,0.868421052631579,0.8036250059256608,0.8034967692892436,0.14813829724967023,0.9745145631067961,0.997743661042511,0.9747292418772563,0.9665871121718377,0.9830097087378641,0.949166133994423,0.9490291262135923,0.06525678089068777
adult,QuantileTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-05},0.9078014184397163,0.932805314256515,0.8169014084507042,0.8787878787878788,0.7631578947368421,0.7590559779156697,0.7556977209116353,1.0432350139367605,0.9441747572815534,0.9731301253652559,0.9439024390243902,0.9485294117647058,0.9393203883495146,0.8883913852540811,0.8883495145631068,0.6063704857833785
adult,QuantileTransformer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 0.16994636371262764, 'penalty': 'l2', 'solver': 'saga'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018734069306615416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007710251599597746
adult,QuantileTransformer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.8449980838885723, 'n_estimators': 271})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4246224930937103,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.3930501507348376
adult,QuantileTransformer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 100})",0.9716312056737588,0.9928461931527849,0.9459459459459459,0.9722222222222222,0.9210526315789473,0.9273566674116498,0.926734216679657,0.18640296714114526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04531448983167542
adult,QuantileTransformer,SVM,BayesianOptimization,"OrderedDict({'C': 94.53233875579238, 'gamma': 0.0001255655694051287, 'kernel': 'rbf'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01741092522432035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009690576547040338
adult,PowerTransformer,DecisionTree,GridSearch,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8865248226950354,0.9382984159427696,0.7647058823529411,0.8666666666666667,0.6842105263157895,0.6996821891361158,0.6912972085385878,0.7424655057715971,0.9648058252427184,0.9950395890281836,0.9640644361833953,0.9848101265822785,0.9441747572815534,0.9304040240294154,0.9296116504854369,0.08174006241969371
adult,PowerTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.9361702127659575,0.9816044966785896,0.8860759493670886,0.8536585365853658,0.9210526315789473,0.8430022264010416,0.8418297394989406,0.1770806435166123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16
adult,PowerTransformer,LDA,GridSearch,{'solver': 'svd'},0.9361702127659575,0.9874808380173736,0.8860759493670886,0.8536585365853658,0.9210526315789473,0.8430022264010416,0.8418297394989406,0.13401710889368795,0.9684466019417476,0.998008766141955,0.9691943127962085,0.9467592592592593,0.9927184466019418,0.9379990483276853,0.9368932038834952,0.07295268614503925
adult,PowerTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-06},0.8936170212765957,0.9169647419519674,0.7945205479452054,0.8285714285714286,0.7631578947368421,0.7240262882185549,0.7229136643521551,1.384322799768943,0.9453883495145631,0.9699017343764729,0.945321992709599,0.9464720194647201,0.9441747572815534,0.8907793229234462,0.8907766990291263,0.6682540247464347
adult,PowerTransformer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 2.7364528220782454, 'penalty': 'l1', 'solver': 'saga'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.012960740237797946,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.0060378329749994405
adult,PowerTransformer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.8449980838885723, 'n_estimators': 271})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42765070834719154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3926416929925929
adult,PowerTransformer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 14, 'n_estimators': 338})",0.9290780141843972,0.9867143587123148,0.8571428571428571,0.9375,0.7894736842105263,0.8157265525843396,0.810432912073138,0.23029978256436523,0.9854368932038835,0.9990279479687059,0.9854014598540146,0.9878048780487805,0.9830097087378641,0.9708852258806868,0.970873786407767,0.13991223308763462
adult,PowerTransformer,SVM,BayesianOptimization,"OrderedDict({'C': 100.0, 'gamma': 0.0007739260266279582, 'kernel': 'rbf'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018229213132221474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007709815035830641
adult,Normalizer,DecisionTree,GridSearch,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.851063829787234,0.8516862544711292,0.7407407407407407,0.6976744186046512,0.7894736842105263,0.6392150796690617,0.6368208021587146,0.469688279916659,0.9393203883495146,0.9708826232444151,0.9399038461538461,0.930952380952381,0.9490291262135923,0.8788064641937509,0.8786407766990292,0.17516224323382815
adult,Normalizer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.8794326241134752,0.9596320899335717,0.7951807228915663,0.7333333333333333,0.868421052631579,0.7157114712413294,0.7106120970662804,0.218386539288715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16
adult,Normalizer,LDA,GridSearch,{'solver': 'svd'},0.9361702127659575,0.9787940725600409,0.8860759493670886,0.8536585365853658,0.9210526315789473,0.8430022264010416,0.8418297394989406,0.17549435783115233,0.9635922330097088,0.9978202469601283,0.964622641509434,0.9380733944954128,0.9927184466019418,0.9287616095131197,0.9271844660194175,0.0899611703168546
adult,Normalizer,GaussianNB,GridSearch,{'var_smoothing': 1e-09},0.8297872340425532,0.8520694941236586,0.7,0.6666666666666666,0.7368421052631579,0.5830216258901165,0.5816023738872405,2.067369050747815,0.9016990291262136,0.939084739372231,0.9050410316529894,0.8752834467120182,0.9368932038834952,0.8053957101514966,0.8033980582524272,0.9067556323445559
adult,Normalizer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 10.0, 'penalty': 'l1', 'solver': 'saga'})",0.9574468085106383,0.9831374552887072,0.9230769230769231,0.9,0.9473684210526315,0.894253521582389,0.8936918823825082,0.16461319432541116,0.9817961165048543,0.9989984918465454,0.9821215733015495,0.9648711943793911,1.0,0.9642315016419979,0.9635922330097088,0.09098549292607179
adult,Normalizer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.7401973698296331, 'n_estimators': 93})",0.9929078014184397,0.9994890137966275,0.9866666666666667,1.0,0.9736842105263158,0.9819989115819723,0.9818369187169909,0.42725618592072506,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39590204419153147
adult,Normalizer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 27, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 102})",0.9219858156028369,0.9808380173735308,0.835820895522388,0.9655172413793104,0.7368421052631579,0.7982087326738571,0.7858622117906945,0.22469643208131385,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.0485151618427464
adult,Normalizer,SVM,BayesianOptimization,"OrderedDict({'C': 100.0, 'gamma': 0.1, 'kernel': 'rbf'})",0.9219858156028369,0.9793050587634134,0.8641975308641975,0.813953488372093,0.9210526315789473,0.8128077727224856,0.8097632773212314,0.18354788830715035,0.9611650485436893,0.994314968423037,0.9623529411764706,0.9337899543378996,0.9927184466019418,0.9241721758490032,0.9223300970873787,0.08390680267327978
adult,MaxAbsScaler,DecisionTree,GridSearch,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.900709219858156,0.9292284108329074,0.8108108108108109,0.8333333333333334,0.7894736842105263,0.7440691847861345,0.7435697583787997,1.4216323213997473,0.9672330097087378,0.9974078612498822,0.966789667896679,0.9800498753117207,0.9538834951456311,0.9347992591047309,0.9344660194174758,0.059470064745941825
adult,MaxAbsScaler,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.9574468085106383,0.9913132345426674,0.925,0.8809523809523809,0.9736842105263158,0.8975855898588911,0.8954005934718101,0.12974352868692676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16
adult,MaxAbsScaler,LDA,GridSearch,{'solver': 'lsqr'},0.9148936170212766,0.9833929483903935,0.8461538461538461,0.825,0.868421052631579,0.7878785948024817,0.7873837647650164,0.15558240347388821,0.970873786407767,0.9977672259402394,0.9714964370546318,0.9511627906976744,0.9927184466019418,0.9426476450370502,0.941747572815534,0.07389502798756536
adult,MaxAbsScaler,GaussianNB,GridSearch,{'var_smoothing': 1e-09},0.8936170212765957,0.9202861522738887,0.7887323943661971,0.8484848484848485,0.7368421052631579,0.7213039874796523,0.7181127548980408,1.229188037758438,0.9466019417475728,0.9745322367800925,0.9464720194647201,0.948780487804878,0.9441747572815534,0.8932144078102319,0.8932038834951457,0.5979729033638653
adult,MaxAbsScaler,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 2.7364528220782454, 'penalty': 'l1', 'solver': 'saga'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01744032921135819,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009425193036330812
adult,MaxAbsScaler,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.5786797985082368, 'n_estimators': 112})",0.9929078014184397,0.9997445068983138,0.9866666666666667,1.0,0.9736842105263158,0.9819989115819723,0.9818369187169909,0.414005880260188,0.9987864077669902,0.9999999999999999,0.9987849331713244,1.0,0.9975728155339806,0.9975757540096359,0.9975728155339806,0.3811244446695989
adult,MaxAbsScaler,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 11, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 419})",0.950354609929078,0.9933571793561574,0.9014084507042254,0.9696969696969697,0.8421052631578947,0.872311949223722,0.868452618952419,0.18172331388512547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03508158313260789
adult,MaxAbsScaler,SVM,BayesianOptimization,"OrderedDict({'C': 32.52108800594495, 'gamma': 0.044662788252242826, 'kernel': 'rbf'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018186261569171698,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0071460414878568275
